workflow_order,workflow_id,workflow_title,palette_lane,priority_tier,layer,object,canonical_path,member_type,member_name,accessible_label,context_label,blind_vi_purpose
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,selection,Song.View,live_set view,child,highlighted_clip_slot,Highlighted clip slot,Song.View child @ view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,selection,Song.View,live_set view,child,selected_scene,Selected scene,Song.View child @ view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,selection,Song.View,live_set view,child,selected_track,Selected track,Song.View child @ view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,session_global,Song,live_set,child,scenes,Scene list,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,session_global,Song,live_set,child,tracks,Track list,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,session_global,Song,live_set,child,visible_tracks,Visible track list,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,scene,Scene,live_set scenes N,property,name,Scene name,Scene prop @ scenes N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,track,Track,live_set tracks N,property,is_part_of_selection,Part Of Selection,Track prop @ tracks N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,track,Track,live_set tracks N,property,name,Track name,Track prop @ tracks N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,track,Track,live_set tracks N,property,is_visible,Visible,Track prop @ tracks N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,track_view,Track.View,live_set tracks N view,property,selected_track,Selected track in view,Track.View prop @ tracks N view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,track_view,Track.View,live_set tracks N view,property,visible_tracks,Visible tracks in view,Track.View prop @ tracks N view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,selection,Song.View,live_set view,child,detail_clip,Detail clip,Song.View child @ view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,session_global,Song,live_set,child,cue_points,Cue Points,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,session_global,Song,live_set,child,master_track,Master track,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,session_global,Song,live_set,child,return_tracks,Return track list,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,session_global,Song,live_set,child,view,Song view,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,scene,Scene,live_set scenes N,child,clip_slots,Scene clip slots,Scene child @ scenes N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,scene,Scene,live_set scenes N,property,is_empty,Empty,Scene prop @ scenes N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,scene,Scene,live_set scenes N,property,color,Scene Color,Scene prop @ scenes N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,track,Track,live_set tracks N,child,clip_slots,Track clip slots,Track child @ tracks N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,track,Track,live_set tracks N,property,color,Track Color,Track prop @ tracks N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,deep,selection,Song.View,live_set view,property,draw_mode,Draw Mode,Song.View prop @ view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,deep,session_global,Song,live_set,child,groove_pool,Groove Pool,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,deep,session_global,Song,live_set,child,tuning_system,Tuning System,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,deep,scene,Scene,live_set scenes N,property,color_index,Scene Color Index,Scene prop @ scenes N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,deep,track,Track,live_set tracks N,property,color_index,Track Color Index,Track prop @ tracks N,Confirms current location and nearby structure.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,core,clip_slot,ClipSlot,live_set tracks N clip_slots M,child,clip,Clip in slot,ClipSlot child @ tracks N clip_slots M,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,core,clip_slot,ClipSlot,live_set tracks N clip_slots M,property,has_clip,Has clip,ClipSlot prop @ tracks N clip_slots M,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,core,clip_slot,ClipSlot,live_set tracks N clip_slots M,property,has_stop_button,Slot has stop button,ClipSlot prop @ tracks N clip_slots M,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,core,clip,Clip,live_set tracks N clip_slots M clip,property,is_audio_clip,Audio Clip,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,core,clip,Clip,live_set tracks N clip_slots M clip,property,name,Clip name,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,core,clip,Clip,live_set tracks N clip_slots M clip,property,is_midi_clip,Midi Clip,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip_slot,ClipSlot,live_set tracks N clip_slots M,property,color,Clip Slot Color,ClipSlot prop @ tracks N clip_slots M,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip_slot,ClipSlot,live_set tracks N clip_slots M,property,controls_other_clips,Controls other clips,ClipSlot prop @ tracks N clip_slots M,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip_slot,ClipSlot,live_set tracks N clip_slots M,property,is_group_slot,Group Slot,ClipSlot prop @ tracks N clip_slots M,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,child,view,Clip view,Clip child @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,is_arrangement_clip,Arrangement Clip,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,color,Clip Color,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,file_path,File Path,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,has_envelopes,Has envelopes,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,has_groove,Has groove,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,muted,Muted,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,notes,Notes,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,ram_mode,Ram Mode,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,is_session_clip,Session Clip,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,signature_denominator,Signature Denominator,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,signature_numerator,Signature Numerator,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,is_take_lane_clip,Take Lane Clip,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,warp_markers,Warp Markers,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,extended,clip,Clip,live_set tracks N clip_slots M clip,property,will_record_on_start,Will Record On Start,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,deep,clip_slot,ClipSlot,live_set tracks N clip_slots M,property,color_index,Clip Slot Color Index,ClipSlot prop @ tracks N clip_slots M,Reveals identity before the user triggers anything.
2,clip_scene_discovery,Clip and Scene Discovery,` + c,deep,clip,Clip,live_set tracks N clip_slots M clip,property,color_index,Clip Color Index,Clip prop @ tracks N clip_slots M clip,Reveals identity before the user triggers anything.
3,launch_performance_state,Launch and Performance State,` + p,core,selection,Song.View,live_set view,property,follow_song,Follow Song,Song.View prop @ view,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,session_global,Song,live_set,property,back_to_arranger,Back To Arranger,Song prop @ live_set,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,session_global,Song,live_set,property,is_playing,Playing,Song prop @ live_set,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,scene,Scene,live_set scenes N,property,is_triggered,Triggered,Scene prop @ scenes N,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,track,Track,live_set tracks N,property,back_to_arranger,Back To Arranger,Track prop @ tracks N,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,track,Track,live_set tracks N,property,fired_slot_index,Fired slot index,Track prop @ tracks N,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,track,Track,live_set tracks N,property,playing_slot_index,Playing slot index,Track prop @ tracks N,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,clip_slot,ClipSlot,live_set tracks N clip_slots M,property,is_playing,Playing,ClipSlot prop @ tracks N clip_slots M,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,clip_slot,ClipSlot,live_set tracks N clip_slots M,property,playing_status,Playing Status,ClipSlot prop @ tracks N clip_slots M,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,clip_slot,ClipSlot,live_set tracks N clip_slots M,property,is_triggered,Triggered,ClipSlot prop @ tracks N clip_slots M,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,clip,Clip,live_set tracks N clip_slots M clip,property,is_playing,Playing,Clip prop @ tracks N clip_slots M clip,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,clip,Clip,live_set tracks N clip_slots M clip,property,playing_position,Playing Position,Clip prop @ tracks N clip_slots M clip,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,clip,Clip,live_set tracks N clip_slots M clip,property,playing_status,Playing Status,Clip prop @ tracks N clip_slots M clip,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,clip,Clip,live_set tracks N clip_slots M clip,property,position,Position,Clip prop @ tracks N clip_slots M clip,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,core,clip,Clip,live_set tracks N clip_slots M clip,property,is_triggered,Triggered,Clip prop @ tracks N clip_slots M clip,Prevents accidental relaunches and silent mistakes.
3,launch_performance_state,Launch and Performance State,` + p,extended,clip_slot,ClipSlot,live_set tracks N clip_slots M,property,is_recording,Recording,ClipSlot prop @ tracks N clip_slots M,Prevents accidental relaunches and silent mistakes.
4,recording_capture_safety,Recording and Capture Safety,` + r,core,session_global,Song,live_set,property,overdub,Overdub,Song prop @ live_set,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,core,session_global,Song,live_set,property,record_mode,Record Mode,Song prop @ live_set,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,core,session_global,Song,live_set,property,session_record,Session Record,Song prop @ live_set,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,core,session_global,Song,live_set,property,session_record_status,Session record status,Song prop @ live_set,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,core,track,Track,live_set tracks N,property,arm,Arm,Track prop @ tracks N,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,core,track,Track,live_set tracks N,property,can_be_armed,Can be armed,Track prop @ tracks N,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,core,clip_slot,ClipSlot,live_set tracks N clip_slots M,property,will_record_on_start,Will record on start,ClipSlot prop @ tracks N clip_slots M,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,core,clip,Clip,live_set tracks N clip_slots M clip,property,is_recording,Recording,Clip prop @ tracks N clip_slots M clip,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,extended,session_global,Song,live_set,property,arrangement_overdub,Arrangement Overdub,Song prop @ live_set,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,extended,session_global,Song,live_set,property,can_capture_midi,Can capture midi,Song prop @ live_set,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,extended,session_global,Song,live_set,property,count_in_duration,Count In Duration,Song prop @ live_set,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,extended,session_global,Song,live_set,property,is_counting_in,Counting In,Song prop @ live_set,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,extended,session_global,Song,live_set,property,punch_in,Punch In,Song prop @ live_set,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,extended,session_global,Song,live_set,property,punch_out,Punch Out,Song prop @ live_set,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,extended,track,Track,live_set tracks N,property,implicit_arm,Implicit Arm,Track prop @ tracks N,Reduces destructive recording errors.
4,recording_capture_safety,Recording and Capture Safety,` + r,extended,clip,Clip,live_set tracks N clip_slots M clip,property,is_overdubbing,Overdubbing,Clip prop @ tracks N clip_slots M clip,Reduces destructive recording errors.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,session_global,Song,live_set,property,clip_trigger_quantization,Clip trigger quantization,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,session_global,Song,live_set,property,current_song_time,Current Song Time,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,session_global,Song,live_set,property,loop_start,Loop Start,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,session_global,Song,live_set,property,metronome,Metronome,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,session_global,Song,live_set,property,signature_denominator,Signature Denominator,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,session_global,Song,live_set,property,signature_numerator,Signature Numerator,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,session_global,Song,live_set,property,tempo,Tempo,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,scene,Scene,live_set scenes N,property,tempo,Tempo,Scene prop @ scenes N,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,clip,Clip,live_set tracks N clip_slots M clip,property,launch_quantization,Launch Quantization,Clip prop @ tracks N clip_slots M clip,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,clip,Clip,live_set tracks N clip_slots M clip,property,length,Length,Clip prop @ tracks N clip_slots M clip,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,clip,Clip,live_set tracks N clip_slots M clip,property,loop_end,Loop End,Clip prop @ tracks N clip_slots M clip,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,clip,Clip,live_set tracks N clip_slots M clip,property,loop_start,Loop Start,Clip prop @ tracks N clip_slots M clip,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,clip,Clip,live_set tracks N clip_slots M clip,property,looping,Looping,Clip prop @ tracks N clip_slots M clip,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,core,clip_view,Clip.View,live_set tracks N clip_slots M clip view,property,grid_quantization,Grid Quantization,Clip.View prop @ tracks N clip_slots M clip view,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,session_global,Song,live_set,property,groove_amount,Groove Amount,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,session_global,Song,live_set,property,loop,Loop,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,session_global,Song,live_set,property,loop_length,Loop Length,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,session_global,Song,live_set,property,midi_recording_quantization,Midi Recording Quantization,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,session_global,Song,live_set,property,song_length,Song Length,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,session_global,Song,live_set,property,start_time,Start Time,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,session_global,Song,live_set,property,swing_amount,Swing Amount,Song prop @ live_set,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,scene,Scene,live_set scenes N,property,tempo_enabled,Tempo Enabled,Scene prop @ scenes N,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,scene,Scene,live_set scenes N,property,time_signature_denominator,Time Signature Denominator,Scene prop @ scenes N,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,scene,Scene,live_set scenes N,property,time_signature_enabled,Time Signature Enabled,Scene prop @ scenes N,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,scene,Scene,live_set scenes N,property,time_signature_numerator,Time Signature Numerator,Scene prop @ scenes N,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,clip,Clip,live_set tracks N clip_slots M clip,property,available_warp_modes,Available warp modes,Clip prop @ tracks N clip_slots M clip,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,clip,Clip,live_set tracks N clip_slots M clip,property,end_marker,End Marker,Clip prop @ tracks N clip_slots M clip,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,clip,Clip,live_set tracks N clip_slots M clip,property,end_time,End Time,Clip prop @ tracks N clip_slots M clip,Communicates phrase structure and edit timing.
5,timing_loop_grid_control,"Timing, Loop, and Grid Control",` + t,extended,clip,Clip,live_set tracks N clip_slots M clip,property,groove,Groove,Clip prop @ tracks N clip_slots M clip,Communicates phrase structure and edit timing.
